YEAR,MONTH,DAY,ID,GFISH,area,boundary_pixel,internal_pixel,internal_water_pixel,water_ratio
2025,03,25,mtn15376,空池(整池),2.7819686168085953,78,237,219,0.9240506329113924
2025,03,25,mtn14686,文蛤,1.9528791253606286,76,159,116,0.7295597484276729
2025,03,25,mtn14656,文蛤,1.1704659085724063,58,88,46,0.5227272727272727
2025,03,25,mtn15094,虱目魚,0.5545663964646297,34,39,22,0.5641025641025641
2025,03,25,mtn15211,餌料池(輪虫),0.6017148022293215,35,42,23,0.5476190476190477
2025,03,25,mtn15147,虱目魚,0.5657960382230921,34,41,30,0.7317073170731707
2025,03,25,mtn15229,文蛤,1.4257946689435899,62,113,89,0.7876106194690266
2025,03,25,mtn14999,虱目魚,0.2846344980560575,26,18,11,0.6111111111111112
2025,03,25,mtn15098,吳郭魚,0.22948930979275306,22,13,8,0.6153846153846154
2025,03,25,mtn15066,吳郭魚,0.2945612312382619,24,17,12,0.7058823529411765
2025,03,25,mtn15152,虱目魚,0.5407706445581901,32,38,28,0.7368421052631579
2025,03,25,mtn15224,虱目魚,0.569465444042872,35,40,30,0.75
2025,03,25,mtn14897,空池(整池),1.2179392143150753,60,91,64,0.7032967032967034
2025,03,25,mtn14783,文蛤,2.026005696631446,66,171,150,0.8771929824561403
2025,03,25,mtn15271,虱目魚,0.4020321325088585,28,27,19,0.7037037037037037
2025,03,25,mtn14770,文蛤,2.080344223676951,66,176,142,0.8068181818181818
2025,03,25,mtn15173,虱目魚,0.3620908853595582,28,23,20,0.8695652173913043
2025,03,25,mtn15234,虱目魚,0.5541561269629842,36,39,30,0.7692307692307693
2025,03,25,mtn15162,虱目魚,0.577988871220411,34,41,30,0.7317073170731707
2025,03,25,mtn15203,虱目魚,0.3636628941819271,27,23,17,0.7391304347826086
2025,03,25,mtn15110,虱目魚,0.6300867865647055,35,45,32,0.7111111111111111
2025,03,25,mtn15165,虱目魚,0.3638322681199222,26,24,17,0.7083333333333334
2025,03,25,mtn15161,虱目魚,0.37742574776412424,27,25,10,0.4
2025,03,25,mtn15104,虱目魚,0.6142243168163335,36,44,28,0.6363636363636364
2025,03,25,mtn15264,虱目魚,0.35205568589384245,28,23,17,0.7391304347826086
2025,03,25,mtn15040,虱目魚,0.5314108490347182,32,38,22,0.5789473684210527
2025,03,25,mtn15052,虱目魚,0.541194690101747,34,39,26,0.6666666666666666
2025,03,25,mtn15062,虱目魚,0.49331646075568736,32,34,23,0.6764705882352942
2025,03,25,mtn14872,空池(整池),3.264570590802405,87,281,46,0.16370106761565836
2025,03,25,mtn14759,文蛤,1.2659823620183062,60,98,59,0.6020408163265306
2025,03,25,mtn14948,空池(整池),3.540258774389149,91,308,47,0.1525974025974026
2025,03,25,mtn14982,空池(整池),1.1821410479221692,56,92,0,0.0
2025,03,25,mtn15037,虱目魚,0.5028901080444471,37,31,23,0.7419354838709677
2025,03,25,mtn15100,虱目魚,0.5541418403707369,36,39,30,0.7692307692307693
2025,03,25,mtn14909,文蛤,2.4493412968053017,70,206,181,0.8786407766990292
2025,03,25,mtn15086,虱目魚,0.38991287545420483,28,27,19,0.7037037037037037
2025,03,25,mtn15010,虱目魚,0.3130977898198257,26,18,10,0.5555555555555556
2025,03,25,mtn14740,空池(整池),3.3451238278604287,80,291,233,0.8006872852233677
2025,03,25,mtn15136,虱目魚,0.5768238407352384,34,41,21,0.5121951219512195
2025,03,25,mtn15124,虱目魚,0.4621882115777541,29,32,20,0.625
2025,03,25,mtn15158,虱目魚,1.4809599503978588,56,119,80,0.6722689075630253
2025,03,25,mtn15141,虱目魚,0.5345280596014098,32,37,20,0.5405405405405406
2025,03,25,mtn15118,虱目魚,0.6029349884423099,36,44,23,0.5227272727272727
2025,03,25,mtn15135,吳郭魚,0.3956736164286577,28,27,22,0.8148148148148148
2025,03,25,mtn15738,虱目魚,0.35148460030445144,26,23,11,0.4782608695652174
2025,03,25,mtn15687,虱目魚,0.37670989504026925,30,23,6,0.2608695652173913
2025,03,25,mtn15452,文蛤,0.285,28,15,0,0.0
2025,03,25,mtn15463,空池(整池),0.356,34,21,11,0.5238095238095238
2025,03,25,mtn14905,虱目魚,0.388,46,17,2,0.11764705882352941
2025,03,25,mtn15476,虱目魚,0.394,35,21,6,0.2857142857142857
2025,03,25,mtn15488,空池(整池),0.159,18,7,1,0.14285714285714285
2025,03,25,mtn14930,文蛤,0.5,50,27,10,0.37037037037037035
2025,03,25,mtn15082,虱目魚,0.334,26,20,9,0.45
2025,03,25,mtn15071,虱目魚,0.293,30,18,6,0.3333333333333333
2025,03,25,mtn15039,餌料池(輪虫),0.052,10,1,0,0.0
2025,03,25,mtn14970,虱目魚,0.228,24,13,0,0.0
2025,03,25,mtn15045,餌料池(輪虫),0.103,14,4,0,0.0
2025,03,25,mtn15049,餌料池(輪虫),0.105,12,4,0,0.0
2025,03,25,mtn15044,虱目魚,0.15,22,5,0,0.0
2025,03,25,mtn15743,虱目魚,0.222,24,13,0,0.0
2025,03,25,mtn15029,餌料池(輪虫),0.02,7,0,0,
2025,03,25,mtn15747,虱目魚,0.224,22,12,2,0.16666666666666666
2025,03,25,mtn15753,虱目魚,0.215,24,10,2,0.2
2025,03,25,mtn15099,虱目魚,0.235,20,14,6,0.42857142857142855
2025,03,25,mtn15759,虱目魚,0.218,22,11,0,0.0
2025,03,25,mtn15267,虱目魚,0.184,20,8,2,0.25
2025,03,25,mtn15241,虱目魚,0.184,22,9,3,0.3333333333333333
2025,03,25,mtn15228,虱目魚,0.2,22,11,1,0.09090909090909091
2025,03,25,mtn15196,虱目魚,0.161,21,7,3,0.42857142857142855
2025,03,25,mtn15545,拒訪,0.215,21,13,5,0.38461538461538464
2025,03,25,mtn15238,虱目魚,0.218,24,10,5,0.5
2025,03,25,mtn15207,虱目魚,0.188,22,10,5,0.5
2025,03,25,mtn15515,拒訪,0.173,20,9,6,0.6666666666666666
